city,addr,latitude,longitude
Днепропетровск,Днепропетровск,48.4680221,35.0417711
Йошкар-Ола,Йошкар-Ола,56.6328248,47.8972462
Пермь,Пермь,58.014965,56.246723
Фрязино,Фрязино,55.954618,38.0567691
Москва,Москва,55.7504461,37.6174943
Санкт-Петербург,Санкт-Петербург,59.938732,30.316229
Москва,Москва,55.7504461,37.6174943
Москва,Москва,55.7504461,37.6174943
Вольгинский,Вольгинский,55.9497907,39.237890564660304
Москва,Москва,55.7504461,37.6174943
Саратов,Саратов,51.530018,46.034683
Москва,Москва,55.7504461,37.6174943
Москва,Москва,55.7504461,37.6174943
Москва,Москва,55.7504461,37.6174943
Уфа,Уфа,54.7261409,55.947499
Уфа,Уфа,54.7261409,55.947499
Санкт-Петербург,Санкт-Петербург,59.938732,30.316229
Ростов-на-Дону,Ростов-на-Дону,47.2216548,39.7096061
Подольск,Подольск,55.4308841,37.5453056
Тамбов,Тамбов,52.7311185,41.4341991460869
Иркутск,Иркутск,52.289597,104.280586
Саратов,Саратов,51.530018,46.034683
Москва,Москва,55.7504461,37.6174943
New York,New York,40.7127281,-74.0060152
Москва,Москва,55.7504461,37.6174943
Красноярск,Красноярск,56.0090968,92.8725147
Саратов,Саратов,51.530018,46.034683
Сергиев Посад,Сергиев Посад,56.3153529,38.1358208
Москва,Москва,55.7504461,37.6174943
Москва,Москва,55.7504461,37.6174943
Москва,Москва,55.7504461,37.6174943
